abovementioned	ดังกล่าวข้างต้น
decoy	นางนกต่อ
model	นายแบบ
stopwatch	นาฬิกาจับเวลา
soft drinks	น้ำขวด
be in the buff	นุ่งน้อยห่มน้อย
be stripped to the buff	นุ่งลมห่มฟ้า
perfectly	เนี้ยบ
rules and regulations	เนื้อผ้า
completely	เนื้อๆ
screenplay	บทภาพยนตร์
postscript	บทส่งท้าย
package	บรรจุภัณฑ์
multi-national corporation	บรรษัทข้ามชาติ
be half-crazy	บ๊องส์
black list	บัญชีดำ
crazy	บ้าบอคอแตก
be fond of flattery	บ้ายอ
be crazy about	บ้าเห่อ
do single-handed	บินเดี่ยว
be big	บึ้บบั้บ
turn	เบนเข็ม
blur	เบลอ
blurred	เบลอ
homosexual	เบี่ยงเบนทางเพศ
foolish	เบื๊อก
be anxious	แบกโลก
chemical reaction	ปฏิกิริยาเคมี
clues of murder	ปมสังหาร
fawn upon	ประจบสอพลอ
on	ประจบสอพลอ
people and ascetics	ประชาชี
expect	ประมาณการณ์
rehappened history	ประวัติศาสตร์ซ้ำรอย
be nervous	ประสาทกิน
be irritated	ประสาทเสีย
duty-free	ปลอดภาษี
demonstrate a trick	ปล่อยทีเด็ด
be chicken-hearted	ปอดแหก
cleaver	ปังตอ
stupid	ปัญญานิ่ม
speculate	ปั่นราคา
speculate stock	ปั่นหุ้น
gossipy and meddlesome	ปากมอม
pick-up	ปิคอัพ
like	ปิ๊ง
obstruct	ปิดกั้น
hush news	ปิดข่าว
get into trouble	เป็นเรื่อง
change	เป็นอื่น
onomatopoeia from the sound of thunder or an explosion	เปรี้ยงปร้าง
reveal	เปลือยใจ
be different	แปลกแยก
be different	แปลกหูแปลกตา
different	แปลกหูแปลกตา
pawn	แปะโป้ง
put a fingerprint on	แปะโป้ง
private	ไปรเวต
feel nauseated	ผะอืดผะอม
refreshing towel	ผ้าเย็น
break one's word	ผิดคำพูด
commander in chief	ผู้การ
aristocrat	ผู้ดีเก่า
Lieutenant	ผู้หมวด
reserve for selection	เผื่อเลือก
unforgettable deeply hurt	แผลใจ
gently	แผ่วเบา
be embedded	ฝังใน
bear	พกพา
succeed in escaping	พ้นตัว
break one's word	พลิกลิ้น
perfunctorily	พอเป็นพิธี
rest one's eyes	พักสายตา
pasteurization	พาสเจอไรซ์
industrial drop	พืชเศรษฐกิจ
belly	พุงกะทิ
pager	เพจเจอร์
close friend	เพื่อนซี้
admit defeat	แพ้ใจ
have a weak point or spot	แพ้ทาง
launder	ฟอกเงิน
become rotten	ฟอนเฟะ
obligation	ภาระผูกพัน
servitude	ภาวะจำยอม
body language	ภาษากาย
finger language	ภาษามือ
official language	ภาษาราชการ
motorcycle	มอเตอร์ไซค์
enjoy	มันส์
haphazardly	มั่วซั่ว
pick at random	มั่วซั่ว
seize an opportunity	มั่วนิ่ม
midterm	มิดเทอม
midnight	มิดไนท์
mini theatre	มินิเธียเตอร์
minibus	มินิบัส
minimart	มินิมาร์ท
buster	มือปราบ
second fiddle	มือรอง
menu	เมนู
hang	เมาค้าง
martial art of Thai boxing	แม่ไม้
not very	ไม่เท่าไร
very	ไม่เบา
be not interested in	ไม่สน
amphetamine	ยาบ้า
yeast	ยีสต์
avoid	ยึกยัก
seize the power	ยึดอำนาจ
deliver an ultimatum	ยื่นคำขาด
dismiss	ยื่นซองขาว
dissolve the parliament	ยุบสภา
be untidy	รกเรื้อ
untidily	รกเรื้อ
be unworthy for thinking	รกสมอง
motorcycle	รถเครื่อง
skytrain	รถไฟลอยฟ้า
be painful	รวดร้าว
assemble	รวมตัว
contemporary	ร่วมสมัย
delicious	รสเด็ด
be delicious	รสเด็ด
apthous  ulcer	ร้อนใน
hesitatingly	รอรี
wait for	รอรี
get much money	รับเละ
be responsible for	รับเละ
vomit blood	รากเลือด
shops	ร้านรวง
low income	รายได้ขั้นต่ำ
squeeze money	รีดเงิน
beset	รุมเร้า
very fast	เร็วจี๋
trifle	เรื่องขี้ผง
important event	เรื่องใหญ่
enforce	ลงแส้
whip	ลงแส้
reduce the price	ลดแหลก
collapse	ล่มสลาย
lined pattern	ลายเส้น
clear	โล่งแจ้ง
drive	ไล่ต้อน
test one's willingness	วัดใจ
test one's luck	วัดดวง
teenager	วัยโจ๋
old age	วัยดึก
put on airs	วางฟอร์ม
wow!	ว้าว
trajectory	วิถีกระสุน
sufficient economy	เศรษฐกิจพอเพียง
bubble economy	เศรษฐกิจฟองสบู่
childish	หน่อมแน้ม
heavily	หนักอึ้ง
be heavy	หนักอึ้ง
lose face	หน้าแหก
indebtedness	หนี้บุญคุณ
hide	หมกเม็ด
be at one wit's end	หมดภูมิ
have no dignity	หมดภูมิ
be emotionless	หมดอารมณ์
emotionlessly	หมดอารมณ์
fathom	หยั่งถึง
sweetly and charmingly	หยาดเยิ้ม
rough	หยาบกระด้าง
be proud of oneself	หลงตัวเอง
be misguided	หลงทาง
get lost	หลงทาง
be mistaken	หลงผิด
make oneself scarce	หลบลี้หนีหน้า
deceive oneself	หลอกตัวเอง
sleep	หลับใหล
badly	ห่วยแตก
stink	ห่วยแตก
be down	อ่อนตัว
reduce	อ่อนตัว
be feeble	อ่อนระทวย
envy	อิจฉาตาร้อน
enviously	อิจฉาตาร้อน
be plump	อึ๋ม
abundant	อื้อซ่า
uhu	อู้ฮู
be bored	เอียน
gram	ก.
July	ก.ค.
Office of the Teacher Civil Service Commission	ก.ค.
Judicial Service Commission	ก.ต.
February	ก.พ.
Office of the Civil Service Commission	ก.พ.
law	ก.ม.
kilogramme	กก.
committee	กก.
Department of Employment	กกจ.
Sports Authority of Thailand	กกท.
Ministry of Finance	กค
National Housing Authority	กคช.
Port Authority of Thailand	กทท.
Department of Mineral Resources	กทธ.
Expressway and Rapid Transit Authority of Thailand	กทพ.
Bangkok	กทม.
Department of Internal Trade	กน.
The Industrial Estate Authority of Thailand	กนอ.
Civil Servant's Pension and Retirement Benefit Fund	กบข.
The Metropolitan Waterworks Authority	กปน.
The Provincial Waterworks Authority	กปภ.
Office of the Royal Development Projects Board	กปร.
Public Relations Department	กปส.
Department of Skill Development	กพร.
The Metropolitan Electricity Authority	กฟน.
The Electricity Generating Authority of Thailand	กฟผ.
Provincial Electricity Authority	กฟภ.
kilometre	กม.
Department of Foreign Trade	กรมการค้าต่างประเทศ
Department of Town and Country Planning	กรมการผังเมือง
Department of Probation	กรมคุมประพฤติ
Department of Agriculture	กรมวิชาการเกษตร
Department of Vocational Education	กรมอาชีวศึกษา
Department of Industrial Works	กรอ.
The Ministry of Foreign Affairs	กระทรวงการต่างประเทศ
The Customs Department	กศก.
Department of Non-Formal Education	กศน.
Ministry of Agriculture and Cooperatives	กษ
The Communications Authority of Thailand	กสท.
Department of Labour Protection and Welfare	กสร.
Department of Industrial Promotion	กสอ.
Ministry of Defence	กห
Kilobyte	กิโลไบต์
extra large	ขนาดใหญ่พิเศษ
Military Transportation Department	ขส.ทบ.
Bangkok Mass Transit Authority	ขส.มก.
least common multiple	ค.ร.น.
Christian era	ค.ศ.
Ministry of Transport and Communications	คค
cabinet	ครม.
anno domini	คริสต์ศักราช
The Teachers Council of Thailand	คุรุสภา
province	จ.
letter	จ.ม.
Thai lesser era	จ.ศ.
The Harbour Department	จท.
authority	จนท.
motor cycle	จยย.
GPA	จีพีเอ
GSM	จีเอสเอ็ม
JICA	ไจกา
hour	ชม.
Celsius	ซ.
centimetre	ซม.
Southeast Asia Games	ซีเกมส์
CD	ซีดี
CVD	ซีวีดี
CNN	ซีเอ็นเอ็น
CIA	ซีไอเอ
boy	ด.ช.
girl	ด.ญ.
doctor	ดร.
DJ	ดีเจ
DDT	ดีดีที
DNA	ดีเอ็นเอ
district	ต.
frontier policeman	ตชด.
Civil Servant Provident Fund	ตม.
policeman	ตร.
square yard	ตร.ว.
road	ถ.
specific gravity	ถ.พ.
dentist	ท.พ.
Department of Commercial Registration	ทค.
The Tourism Authority of Thailand	ททท.
Royal Thai Army	ทบ.
Ministry of University Affairs	ทม
Royal Thai Navy	ทร.
Telephone Organization of Thailand	ทศท.
aide-de-camp	ทส.
Royal Thai Airforce	ทอ.
Airports Authority of Thailand	ทอท.
Telephone Organization of Thailand	ทีโอที
Test of English as Foreign Language	โทเฟิล
bank	ธ.
Bank for Agriculture and Agricultural Cooperatives	ธกส.
Export-Import Bank of Thailand	ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย
The Government Savings Bank	ธนาคารออมสิน
The Government Housing Bank	ธนาคารอาคารสงเคราะห์
Bank of Thailand	ธปท.
The Government Housing Bank	ธอส.
North	น.
clock	น.
weight	น.น.
Bachelor of Civil Law	น.บ.
doctor	น.พ.
student	น.ศ.
Miss	น.ส.
veterinary medicine	น.สพ.
Office of the Prime Minister	นร
pupil	นร.
Bachelor of Arts in Mass Communication	นศ.บ.
newspaper	นสพ.
NASA	นาซา
NATO	นาโต
NAFTA	นาฟตา
NIC	นิค
NECTEC	เนคเทค
company	บ.
baht	บ.
editor	บ.ก.
account	บ/ช
The Transport Company Limited	บขส.
accounting section	บช.
account	บช.
The Department of Aviation	บพ.
company limited	บริษัทจำกัด
account current	บัญชีกระแสรายวัน
BIT	บิต
BC	บีซี
BTU	บีทียู
BBC	บีบีซี
B.A.	บีเอ
BOI	บีโอไอ
BYTE	ไบต์
graduate of theology	ป.
assistant district office	ป.
primary education	ป.
Anti Money Laundering Office	ป.ป.ง.
Office of the National Counter Corruption Commission	ป.ป.ช.
Office of the Narcotics Control Board	ป.ป.ส
postscript	ป.ล.
public relations	ปชส.
post office	ปณ.
General Post Office	ปณก.
general post office	ปณก.
Petroleum Authority of Thailand	ปตท.
president	ปธน.
Department of Public Welfare	ปส.
chief	ผกก.
manager	ผจก.
assistant	ผช.
village headman	ผญ.
director	ผบ.
commander in chief	ผบ.
commander	ผบ.
Commander-in-Chief of the Army	ผบ.ทบ.
Commander-in-Chief of the Navy	ผบ.ทร.
Commander-in-Chief of the Air Force	ผบ.ทอ.
provincial governor	ผวจ.
professor assistant	ผศ.
director	ผอ.
woman doctor	พ.ญ.
major	พ.ต.
police major	พ.ต.ต.
police lieutenant colonel	พ.ต.ท.
police colonel	พ.ต.อ.
senior police colonel	พ.ต.อ.พิเศษ
king's order	พ.ร.ก.
royal decree	พ.ร.ฎ.
an act of legislation	พ.ร.บ.
Buddhist Era	พ.ศ.
colonel	พ.อ.
Flight Sergeant Third Class	พ.อ.ต.
Flight Sergeant Second Class	พ.อ.ท.
senior colonel	พ.อ.พิเศษ
Flight Sergeant First Class	พ.อ.อ.
The Community Development Department	พช.
Ministry of Commerce	พณ
Bachelor of Commerce	พณ.บ.
area	พท.
Office of Atomic Energy for Peace	พป.
major general	พล.ต.
police major general	พล.ต.ต.
police lieutenant general	พล.ต.ท.
police general	พล.ต.อ.
lieutenant general	พล.ท.
Rear Admiral	พล.ร.ต.
Vice Admiral	พล.ร.ท.
Admiral	พล.อ.อ.
private	พลฯ
Bureau of the Royal Household	พว.
PC	พีซี
PVC	พีวีซี
P.R.	พีอาร์
p.m.	พีเอ็ม
Fahrenheit	ฟ.
FIFA	ฟีฟ่า
FAX	แฟกซ์
income tax	ภ.ง.ด.
value added tax	ภ.พ.
pharmacist	ภก.
secondary education	ม.
secondary education	ม.
university	ม.
metre	ม.
grandchild of a king	ม.จ.
great-grandchild of a king	ม.ร.ว.
milligramme	มก.
Ministry of Interior	มท
Mister	มร.
millilitre	มล.
megahertz	เมกะเฮิรตซ์
Ministry of Justice	ยธ
Public Works Department	ยธ.
UNICEF	ยูนิเซฟ
UNESCO	ยูเนสโก
UPS	ยูพีเอส
UV	ยูวี
UHT	ยูเอชที
UN	ยูเอ็น
unidentified flying object	ยูเอฟโอ
government service	ร.
factory	ร.ง.
Territorial Defense Department	ร.ด.
sub-lieutenant	ร.ต.
police sub- lieutenant	ร.ต.ต.
police lieutenant	ร.ต.ท.
police captain	ร.ต.อ.
lieutenant	ร.ท.
bachelor of public administration	ร.บ.
printing office	ร.พ.
Royal State Railways	ร.ฟ.ล.
hotel	ร.ร.
school	ร.ร.
His Majesty's Ship	ร.ล.
Bangkok Era	ร.ศ.
The Express Transportation Organization of Thailand	ร.ส.พ.
captain	ร.อ.
pilot officer	ร.อ.ต.
flying office	ร.อ.ท.
flight lieutenant	ร.อ.อ.
constitution	รธน.
The Royal Institute	รบ.
hospital	รพ.
The Office of Accelerated Rural Development	รพช.
The State Railway of Thailand	รฟท.
Metropolitan Rapid Transit Authority	รฟม.
deputy minister	รมช.
minister	รมต.
minister	รมว.
Ministry of Labour and Social Welfare	รส
government enterprise	รสก.
Royal Aide-de-Camp Department Ministry of Defence	รอ.
Read Only Memory	รอม
quality control	ระบบควบคุมคุณภาพ
quality assurance	ระบบประกันคุณภาพ
Random Access Memory	แรม
litre; liter	ล.
Local Area Network	แลน
teacher's college	ว.ค.
day month year	ว.ด.ป.
day month year	ว/ด/ป
teacher's college	วค.
Thailand Institute of Scientific and Technological Research	วท
bachelor of science	วท.บ.
Ministry of Science, Technology and Environment	วว
year 2000	วายทูเค
research and development	วิจัยและพัฒนา
video	วีดีโอ
very superior old	วีเอสโอ
very important person	วีไอพี
World Wide Web	เวิร์ลไวด์เว็บ
value added tax	แวต
professor	ศ.
bachelor of fine arts	ศ.บ.
customs house; customs post	ศก.
The Customs Department	ศก.
Ministry of Education	ศธ
bachelor of liberal arts	ศศ.บ.
The Supreme Court	ศาลฎีกา
The Civil Court Ministry of Justice	ศาลแพ่ง
The Criminal Court	ศาลอาญา
The Court of Appeals	ศาลอุทธรณ์
a monetary Thai currency	ส.ต.
police lance corporal	ส.ต.ต.
police corporal	ส.ต.ท.
police sergeant	ส.ต.อ.
Agricultural Land Reform Office	ส.ป.ก.
senator	ส.ว.
member of the House of Representatives	ส.ส.
military police	ส.ห.
Office of the Board of Investment	สกท.
Board of Investment	สกท.
Office of the National Education Commission	สกศ.
National Intelligence Agency	สขช.
Office of the Consumer Protection Board	สคบ.
member of the Provincial Council	สจ.
Office of the Commission for the Management of Land Traffic	สจร.
Office of Private Education Commission	สช.
Office of the Auditor General of Thailand	สตง.
Ministry of Public Health	สธ
police station	สน.
office	สนง.
principal business office; head office	สนญ.
Office of the National Primary Education Commission	สปช.
Office of the Permanent Secretary, The Prime Minister's Office	สปน.
Social Security Office	สปส.
The Secretariat of the House of Representatives	สผ
Office of Environmental Policy and Planning	สผ.
National Energy Policy Office	สพช.
Office of the National Security Council	สมช.
Thai Industrial Standards Institute	สมอ.
National Youth Bureau	สยช.
The Secretariat of the Cabinet	สลค.
The Secretariat of the Prime Minister	สลน
The Secretariat of the Senate	สว
Office of the National Culture Commission	สวช.
chief of the police station	สวญ.
National Science and Technology Development Agency	สวทช.
police protector	สวป.
police investigator	สวส.
The Fiscal Policy Office	สศค.
The Fiscal Policy Office	สศค.
Office of the National Economic and Social Development Board	สศช.
National Statistical Office	สสช.
The Office of the Maritime Promotion Commission	สำนักงานคณะกรรมการส่งเสริมการพาณิชย์นาวี
The Government Lottery Office	สำนักสลากกินแบ่งรัฐบาล
chief of military staff	เสธ.
limited partnership	หจก.
chief	หน.
district	อ.
teacher; master; professor	อ.
teacher; master; professor	อ.จ.
bachelor of arts	อ.บ.
Dairy Farming Promotion Organization of Thailand	อ.ส.ค.
The Mass Communication Organization of Thailand	อ.ส.ม.ท.
The Forest Industry Organization	อ.อ.ป.
Ministry of Industry	อก
public prosecutor	อก.
Public Warehouse Organization	อคส.
The Glass Organization	องค์การแก้ว
teacher; master; professor	อจ.
head-master; principal	อจญ.
Asian Games	อชก.
The Marketing Organization	อต.
The Meteorological Department	อต.
The Marketing Organization for Farmers	อตก.
The War Veterans Organization of Thailand	อผศ.
The Food and Drug Administration	อย.
Office of the Attorney General	อส.
Fish Marketing Organization	อสป.
master of arts	อักษรศาสตรมหาบัณฑิต
bachelor of arts	อักษรศาสตรบัณฑิต
Association of Southeast Asian Nations	อาเซียน
ASEAN Free Trade Area	อาฟตา
Emotional Intelligence	อีคิว
Express Mail Service	อีเอ็มเอส
Human Immune-deficiency Virus	เอชไอวี
South-east Asia	เอเชียตะวันออกเฉียงใต้
Acquired Immune Deficiency Syndrome	เอดส์
Non Government Organizations	เอ็นจีโอ
National Basketball Association	เอ็นบีเอ
anti-lock brake system	เอบีเอส
frequency modulation	เอฟเอ็ม
Managing Director	เอ็มดี
American University Alumni	เอยูเอ
Sun protection factor	เอสพีเอฟ
Alpha Hydroxy Acid	เอเอชเอ
ante meridiem	เอเอ็ม
Asian Institute of Technology	เอไอที
over time	โอที
Organization of Petroleum Exporting Countries	โอเปค
out-patient department	โอพีดี
Intelligence Quotient	ไอคิว
integrated circuit	ไอซี
I Seek You	ไอซีคิว
intensive care unit	ไอซียู
informational technology	ไอที
International Monetary Fund	ไอเอ็มเอฟ
integrated services digital network	ไอเอสดีเอ็น
International Standard Book Number	ไอเอสบีเอ็น
International Standard Serial Number	ไอเอสเอสเอ็น
International Organization for Standardization	ไอเอสโอ
helicopter	ฮ.
World Health Organization	ฮู
parking lot	สถานที่จอดรถ
communication tool	เครื่องมือสื่อสาร
sanitary ware	เครื่องสุขภัณฑ์
stereo	เครื่องเสียง
clothes dryers	เครื่องอบผ้า
facilities	เครื่องอำนวยความสะดวก
communication center	ศูนย์การคมนาคม
manufacturing center	ศูนย์การผลิต
communication center	ศูนย์การสื่อสาร
information center	ศูนย์ข้อมูลข่าวสาร
ad hoc center	ศูนย์เฉพาะกิจ
commanding center	ศูนย์บัญชาการ
public place	สถานที่สาธารณะ
construction site	สถานที่ก่อสร้าง
video player	เครื่องเล่นวีดีโอเทป
detention center	สถานกักกัน
scene of the accident	สถานที่เกิดเหตุ
attack	สถานที่เกิดเหตุ
crime	สถานที่เกิดเหตุ
resort	สถานที่ตากอากาศ
tourist attraction	สถานที่ท่องเที่ยว
historic site	สถานที่โบราณ
workplace	สถานที่ประกอบการ
address	สถานที่ติดต่อ
sanatorium	สถานที่พักฟื้น
official place	สถานที่ราชการ
day nursery	สถานที่รับเลี้ยงเด็ก
lathe	เครื่องกลึง
consulate	สถานกงสุล
UPS	เครื่องทำไฟสำรอง
data entry equipment	เครื่องเก็บบันทึกข้อมูล
machine	เครื่องจักร
basketwork	เครื่องจักสาน
fishing gear	เครื่องจับสัตว์น้ำ
card punch	เครื่องเจาะบัตร
sprinkler	เครื่องฉีดน้ำสนามหญ้า
washing machine	เครื่องซักผ้า
pottery	เครื่องดินเผา
cooker hood	เครื่องดูดควัน
vacuum cleaner	เครื่องดูดฝุ่น
lawnmower	เครื่องตัดหญ้า
pager	เครื่องวิทยุติดตามตัว
heater	เครื่องทำความร้อน
cassette player	เครื่องเล่นเทป
laboursaving device	เครื่องทุ่นแรง
bioreactor	เครื่องปฏิกรณ์ชีวภาพ
nuclear reactor	เครื่องปฏิกรณ์ปรมาณู
diving apparatus	เครื่องประดาน้ำ
processor	เครื่องประมวลผล
medical device	เครื่องมือแพทย์
laboratory instruments	เครื่องมือวิทยาศาสตร์
ventilator	เครื่องระบายอากาศ
ironing machine	เครื่องรีดผ้า
game player	เครื่องเล่นเกม
CD player	เครื่องเล่นซีดี
place of entertainment	สถานที่บันเทิง
freezers	เครื่องทำความเย็น
badness	สิ่งเลวร้าย
abnormality	สิ่งผิดปกติ
wonder	สิ่งมหัศจรรย์
restraint	สิ่งยึดเหนี่ยว
disturbance	สิ่งรบกวน
surroundings	สิ่งรอบข้าง
surroundings	สิ่งรอบตัว
mystery	สิ่งเร้นลับ
motivation	สิ่งเร้า
worthless thing	สิ่งไร้ค่า
absurdity	สิ่งไร้สาระ
illusion	สิ่งลวงตา
holy place	สถานที่ศักดิ์สิทธิ์
mystery	สิ่งลี้ลับ
buildings	สิ่งปลูกสร้าง
impossibility	สิ่งสุดวิสัย
narcotic	สิ่งเสพติด
treasure	สิ่งหวงแหน
restraint	สิ่งเหนี่ยวรั้ง
incredibility	สิ่งเหลือเชื่อ
facilities	สิ่งอำนวยความสะดวก
agricultural equipment	อุปกรณ์การเกษตร
stationery	อุปกรณ์การเขียน
luggage	อุปกรณ์การเดินทาง
medical appliance	อุปกรณ์การแพทย์
teaching aid	อุปกรณ์การเรียนการสอน
precious thing	สิ่งล้ำค่า
health park	สวนสุขภาพ
dhamma retreat	สถานปฏิบัติธรรม
place of amusement	สถานเริงรมย์
agricultural garden	สวนเกษตร
kitchen garden	สวนครัว
amusement park	สวนเด็กเล่น
bird park	สวนนก
ocean park	สวนน้ำ
wood lot	สวนป่า
mixed garden	สวนผสม
vegetable garden	สวนผัก
botanical garden	สวนพฤกษศาสตร์
new matter	สิ่งแปลกใหม่
flower garden	สวนไม้ดอก
adulterated thing	สิ่งแปลกปลอม
small park	สวนหย่อม
food center	สวนอาหาร
necessities	สิ่งจำเป็น
temptation	สิ่งจูงใจ
compensation	สิ่งชดเชย
good	สิ่งดีงาม
temptation	สิ่งล่อใจ
attraction	สิ่งดึงดูดใจ
prohibition	สิ่งต้องห้าม
printed matter	สิ่งตีพิมพ์
textile	สิ่งทอ
amplifier	เครื่องกระจายเสียง
park	สวนสาธารณะ
penalty	ลูกโทษ
penalty kick	การเตะลูกโทษ
offside	การล้ำหน้า
dribble	เลี้ยงลูก
red card	ใบแดง
yellow card	ใบเหลือง
linesman's flag	ธงกำกับเส้น
linesman	ผู้กำกับเส้น
cooker hood	เครื่องดูดควัน
whisk	ที่ตีไข่
ground floor	ชั้นล่าง
parapet	ราวลูกกรง
awning	ม่านบังแดด
garage	โรงรถ
scatter cushion	หมอนอิง
garage	อู่ซ่อมรถ
hairstyle	ทรงผม
manuscript	ต้นฉบับ
intensive care unit	แผนกผู้ป่วยหนัก
drawing board	กระดาษเขียนแบบ
clutch-type pencil	ดินสอกด
pencil lead	ไส้ดินสอ
earpiece	หูฟัง
mouthpiece	กระบอกโทรศัพท์
emergency numbers	หมายเลขฉุกเฉิน
hour hand	เข็มชั่วโมง
minute hand	เข็มนาที
canned food	อาหารกระป๋อง
canned fruit	ผลไม้กระป๋อง
grocer's shop	ร้านขายของชำ
library user	ผู้ใช้บริการห้องสมุด
dummy	หุ่นโชว์
customer assistant	พนักงานขาย
ice bucket	ถังน้ำแข็ง
drain	ท่อระบายน้ำ
clothes shop	ร้านขายเสื้อผ้า
road sweeper	คนกวาดถนน
flyover	สะพานลอย
news vendor	คนขายหนังสือพิมพ์
dining table	โต๊ะอาหาร
bottom plate	จานรอง
washbasin	อ่างล้างหน้า
visual signal	สัณญาณภาพ
stopclock	นาฬิกาจับเวลา
types	ตัวพิมพ์
full stop	มหัพภาค
colon	มหัพภาคคู่
comma	จุลภาค
semicolon	อัฒภาค
question mark	ปรัศนี
exclamation mark	อัศเจรีย์
square brackets	วงเล็บใหญ่
quotation marks	อัญประกาศ
hyphen	ยติภังค์
marks of omission	จุดไข่ปลา
front page	หน้าหนึ่ง
column	หัวข่าว
column heading	หัวข่าวย่อย
leading article	บทบรรณาธิการ
political section	หน้าการเมือง
sports section	หน้ากีฬา
sports news item	ข่าวกีฬา
news in brief	ข่าวสั้น
weather report	รายงานอากาศ
arts section	หน้าศิลปะบันเทิง
colon	ทวิภาค
windscreen	กระจกหน้ารถ
rear window	กระจกหลัง
masking tape	กระดาษกาว
radiator bonnet	กระโปรงหน้ารถ
boot	กระโปรงหลังรถ
pencil box	กล่องดินสอ
beach trousers	กางเกงชายหาด
skipping	การกระโดดเชือก
skydiving	การกระโดดร่ม
oil refinery	การกลั่นน้ำมัน
horse racing	การแข่งม้า
basket making	การจักสาน
motorsports	การแข่งรถ
navigation	การเดินเรือ
angling	การตกปลา
shooting	การถ่ายทำภาพยนตร์
photography	การถ่ายภาพ
balancing act	การทรงตัว
weaving	การทอ
lecture	การบรรยาย
election	การเลือกตั้ง
padlock	กุญแจสายยู
folding chair	เก้าอี้พับ
visitor's chair	เก้าอี้รับแขก
brandy glass	แก้วบรั่นดี
champagne glasses	แก้วแชมเปญ
wine glass	แก้วไวน์
roasting chicken	ไก่ย่าง
loaf	ขนมปังปอนด์
slice of bread	ขนมปังแผ่น
French loaf	ขนมปังฝรั่งเศส
long loaf	ขนมปังแถว
armpit hair	ขนรักแร้
shaving cream	ครีมโกนหนวด
tank farm	คลังน้ำมัน
materials store	คลังพัสดุ
combination cutting pliers	คีมจับ
public telephone network	เครือข่ายโทรศัพท์
strainer	เครื่องกรองน้ำ
ticket counter with change machine	เครื่องจ่ายตั๋วและทอนเงิน
overhead projector	เครื่องฉายแผ่นใส
slide projector	เครื่องฉายสไลด์
overhead projector	เครื่องฉายภาพข้ามศีรษะ
respirator	เครื่องช่วยหายใจ
weighing apparatus	เครื่องชั่งน้ำหนัก
office equipment	เครื่องใช้สำนักงาน
coffee maker	เครื่องต้มกาแฟ
toaster	เครื่องปิ้งขนมปัง
de-aerator	เครื่องฟอกอากาศ
instruments for surgery	เครื่องมือผ่าตัด
stapler	เครื่องเย็บกระดาษ
dishwasher	เครื่องล้างจาน
feed pump	เครื่องสูบน้ำ
ticket counter	เคาน์เตอร์จำหน่ายตั๋ว
paying-in	เคาน์เตอร์รับเงิน
cashier	แคชเชียร์
desk lamp	โคมไฟตั้งโต๊ะ
wall lamp	โคมไฟติดผนัง
street lamp	โคมไฟถนน
chandelier	โคมระย้า
basket making	งานจักสาน
safe	ตู้นิรภัย
carnival	งานเทศกาล
needlework	งานเย็บปักถักร้อย
screen for viewdata	จอแสดงผล
projection of the picture	จอแสดงภาพ
view point	จุดชมวิว
assembly point	จุดนัดพบ
penalty spot	จุดโทษ
freezing compartment	ช่องแช่แข็ง
salad drawer	ช่องแช่ผักผลไม้
companionway	ช่องทางเดิน
air passage	ช่องระบายอากาศ
basement	ชั้นใต้ดิน
shelf	ชั้นวางของ
disk rack	ชั้นวางจาน
shop shelves	ชั้นวางสินค้า
bookshelf	ชั้นวางหนังสือ
glassworker	ช่างกระจก
cameraman	ช่างกล้อง
silversmith	ช่างเงิน
motor car mechanic	ช่างซ่อมรถ
bar bender	ช่างดัดเหล็ก
hairdresser	ช่างตัดผม
blacksmith	ช่างตีเหล็ก
make-up artist	ช่างแต่งหน้า
painter	ช่างทาสี
hairstylist	ช่างทำผม
shoemaker	ช่างทำรองเท้า
watchmaker	ช่างนาฬิกา
plumber	ช่างประปา
hand compositor	ช่างเรียงพิมพ์
metalworker	ช่างโลหะ
optician	ช่างแว่นตา
feeding bowl	ชามข้าวสุนัข
nursery child	เด็กเล็กก่อนวัยเรียน
muzzle	ตะกร้อสวมปากสุนัข
ticket	ตั๋วรถไฟ
cinema ticket	ตั๋วหนัง
postbox	ตู้จดหมาย
medicine cupboard	ตู้ยา
microwave	เตาไมโครเวฟ
steam, spray, and dry iron	เตารีดไอน้ำ
hospital bed	เตียงคนไข้
double bed	เตียงคู่
drawing table	โต๊ะเขียนแบบ
mobile phone	โทรศัพท์มือถือ
public telephone	โทรศัพท์สาธารณะ
intercom	โทรศัพท์ภายใน
private detective	นักสืบเอกชน
waterproof watch	นาฬิกากันน้ำ
watch	นาฬิกาข้อมือ
wall clock	นาฬิกาแขวน
self-winding watch	นาฬิกาไขลาน
timer	นาฬิกาจับเวลา
cube sugar	น้ำตาลก้อน
correcting fluid	น้ำยาลบคำผิด
films cript	บทภาพยนตร์
admission ticket	บัตรผ่านประตู
ballot box	บัตรลงคะแนน
membership card	บัตรสมาชิก
library ticket	บัตรห้องสมุด
ladder	บันไดหนีไฟ
detached house	บ้านเดี่ยว
weekend house	บ้านพักตากอากาศ
bartender	บาร์เทนเดอร์
chain reaction	ปฏิกิริยาลูกโซ่
plug socket	ปลั๊กตัวเมีย
advertisement	ป้ายโฆษณาสินค้า
street sign showing the name of the street	ป้ายชื่อถนน
warning sign	ป้ายเตือนภัย
guide post	ป้ายบอกทาง
price card	ป้ายราคา
clothes brush	แปรงซักผ้า
