english	thai	paiboon
teach someone a lesson	ดัดหลัง	dàt-lǎng
jubilantly	ดี๊ด๊า	dii-daa
slowly	ดุบดิบ	dùp-dìp
does not look good	ดูไม่จืด	duu-mâi-jʉ̀ʉt
bad	เดนนรก	den-nók
be to one's taste	โดนใจ	doon-jai
miss the news	ตกข่าว	dtòk-kǎao
abundantly	ตรึม	dtrʉ̂m
be not funny	ตลกฝืด	dtà-lòk-fʉ̀t
always	ตลอดปีตลอดชาติ	dtà-lɔɔd-bpii dtà-lɔɔd-châat
always	ตลอดศก	dta-lɔ̂ɔd-sòk
24-hour market	ตลาดโต้รุ่ง	dtà-làat-dtôo-rûŋ
labour market	ตลาดนัดแรงงาน	dtà-làat-nát-rɛɛŋ-ngaan
market stall	ตลาดแผงลอย	dtà-làat-pɛɛŋ-lɔɔy
quibble	ตวัดลิ้น	dtà-wàt-lín
retort	ตอกกลับ	dtɔ̀ɔg-glàp
can not continue	ต่อไม่ติด	dtɔ̀-màai-dtìt
bellow	ตะคั้นตะคอก	dtà-khan-dtà-kɔ̀ɔk
peevish	ตะบึงตะบอน	dtà-bʉŋ-dtà-bɔn
be peevish	ตะบึงตะบอน	dtà-bʉŋ-dtà-bɔɔn
salute	ตะเบ๊ะ	dtà-bé
interrogate	ตั้งกระทู้	dtâŋ-gra-túu
impose condition	ตั้งข้อแม้	dtâŋ-kɔ̂ɔ-mɛ́ɛ
put  on the stove	ตั้งไฟ	dtâŋ-fai
gather into a group	ตั้งวง	dtâng-waŋ
concentrate	ตั้งสมาธิ	dtâŋ-sà-maa-tí
lustful	ตัณหากลับ	dtà-nǎa-glàp
be sexually aroused	ตัณหากลับ	dtà-ná-hǎa-glàp
reduce one's power	ตัดกำลัง	dtàt-gam-laŋ
deprive of one's right	ตัดสิทธิ์	dtàt-sìt
restrain one's desire	ตัดอกตัดใจ	dàt-òk-dàt-jai
tiredly	ตับแลบ	dtàp-lɛ̀p
veteran	ตัวเก๋า	dtua-gǎo
pawn ticket	ตั๋วจำนำ	dtǔa-jam-nam
lose all one's money	ตัวเบา	dtua-bao
little kid	ตัวเล็ก	dtua-lèk
low-ranking official	ตัวเล็ก	dtua-lèk
innocent	ตาดำๆ	dtaa-dam-dam
as one's fate may be	ตามเพรง	dtaam-phraaŋ
according to regulations	ตามระเบียบ	dtaam-rá-bia̱p
naturally die	ตายดี	dtaai-dii
be half dead	ตายมิตายแหล่	dtaai-mi-dtaai-lɛ̀ɛ
die at one's place	ตายรัง	dtaai-raŋ
be completely dead	ตายหยังเขียด	dtaai-yaŋ-kʰìat
be stable	ติดลมบน	dtìt-lom-bon
be stuck at one's lips	ติดอยู่ที่ปาก	dtìd-yùu-tîi-bpàak
press on two sides	ตีกระหนาบ	dtii-grà-nàap
hit with the knee	ตีเข่า	dtii-kào
snatch and run away	ตีชิงวิ่งราว	dtii-chiŋ-wiŋ-raao
pretend to be acquainted	ตีซี้	dtii-síi
break with friends	ตีตนออกห่าง	dtii-don-ɔ̀ɔk-hàaŋ
market a product against	ตีตลาด	dtii-dtlâat
buy a half-priced ticket	ตีตั๋วเด็ก	dtii-dtǔa-dèk
keep aloof	ตีตัวออกห่าง	dtii-dtua-ɔɔk-hàaŋ
have an excellent act	ตีบทแตก	dtii-bòt-dtɛɛk
pretend to know nothing	ตีลูกเซ่อ	dtii-lûuk-sə̂ə
pretend ignorance	ตีหน้าเซ่อ	dtii-nâa-sə̂ə
stingy	ตึ๋งหนืด	dtʉ̂ŋ-nʉ̀t
panicky	ตื่นไฟ	dtʉ̂ʉn-fai
ins and outs	ตื้นลึกหนาบาง	dtʉ́n-lʉk-nǎa-baaŋ
tuk-tuk	ตุ๊กๆ	dtúk-dtúk
homosexual	ตุ๊ด	dtúk
lean buttocks	ตูดปอด	dtùd-bpɔɔd
get angry	เต้นเป็นเจ้าเข้า	dtêen-bpen-jâo-kâo
with all one's strength or might	เต็มอัตราศึก	dtem-àt-raa-sʉk
retard	เตะถ่วง	dtè-tûaŋ
have a punishment kick	เตะโทษ	dtè-tôot
electric stove	เตาไฟฟ้า	dtao-fai-fáa
dinosaur	เต่าล้านปี	dtào-láan-bpii
double bed	เตียงคู่	dtiang-kuu
single bed	เตียงเดี่ยว	dtiiŋ-diào
camp bed	เตียงผ้าใบ	dtiang-pâa-bai
camp bed	เตียงสนาม	dtia-sanam
spring bed	เตียงสปริง	dtia-sapriŋ
be broken off from a group	แตกกลุ่ม	dtɛ̀ɛk-glùm
homosexual	แต๋ว	dtɛ̂a
from time inmemorial	แต่ไหนแต่ไร	dtɛ̀-nǎi-dtɛ̀-rai
take liberties with	แต๊ะอั๋ง	dtɛ́-aŋ
aimlessly	โต๋เต๋	dtoo-dtoo
Chinese dishes	โต๊ะจีน	dtó-jiin
discuss	ถกปัญหา	tók-bpan-hǎa
roll up	ถกผ้า	túk-páa
retract one's words	ถอนคำพูด	tɔ̌ɔn-kam-pûut
broadcast live	ถ่ายทอดสด	tâai-tôad-sòd
copy	ถ่ายสำเนา	tâai-sǎm-nao
profoundly	ถึงกึ๋น	tʉ̌ng-gʉ̌n
come to one's death time	ถึงที่ตาย	tʉ̌ng-tîi-dtaai
realize	ถึงบางอ้อ	tʉ̌ng-baaŋ-ɔ̂ɔ
own	ถือกรรมสิทธิ์	tʉ̌u-gam-sìt
be arrogant	ถือเนื้อถือตัว	tʉ̌u-nʉ́a-tʉ̌u-dtua
keep the secret	ถือเป็นความลับ	tʉ̌a-bpen-kwaam-lap
take someone as a model	ถือเป็นเยี่ยงอย่าง	tʉ̌a-bpen-yîaŋ-yàaŋ
take offence	ถือเป็นอารมณ์	tʉ̌a-bpen-aa-rom
make bold	ถือวิสาสะ	tʉ̌a-wí-sǎa-sà
observe religious precepts or rite	ถือศีลกินเจ	tʉ̌ʉ-sǐil-gin-jee
plastic bag	ถุงก๊อบแก๊บ	tûng-gɔ́p-gɛ́p
plastic bag	ถุงพลาสติก	tǔng-plàas-dtìk
safety airbag	ถุงลมนิรภัย	túng-lom-ní-rá-pai
be lawful	ถูกกฎหมาย	tùug-gdt-mǎai
be pertinent	ถูกจุด	tùug-jùd
through the right pull	ถูกช่อง	tùuk-chɔ̂ɔŋ
be cornered	ถูกต้อน	tùuk-dtɔ̂ɔn
ask for a debt of gratitude	ทวงบุญคุณ	thuaŋ-bun-kun
go against	ทวนกระแส	tuan-gra-sɛɛ
stretch oneself on	ทอดกาย	tɔ̂ɔd-gaai
leave one's business or duty	ทอดธุระ	tɔ̂ɔd-tu-rá
impolitely	ทะลึ่งตึงตัง	tá-lʉ̂ng-dtʉng-dtaŋ
top	ทะลุเป้า	tá-lú-bpao
modernize	ทันโลก	tan-look
be not comparable	ทาบไม่ติด	tâap-mâi-dtìt
scramble for superiority	ทาบรัศมี	taa-brap-sà-mii
hesitate	ท่ามาก	tâa-màak
hurt	ทารุณจิตใจ	taa-run-jit-jai
work	ทำการทำงาน	tam-gaan-tam-ngaan
make a profit	ทำกำไร	tam-gam-rai
behave shamefully	ทำงามหน้า	tam-gaam-nâa
act arbitrary	ทำโดยพลการ	tam-doi-pon-gaan
put on airs	ทำเบ่ง	tam-bèŋ
kick a ball into the goal	ทำประตู	tam-bprà-dtuu
treat  as a trifle	ทำเป็นเล่น	tam-bpen-len
tissue paper	ทิชชู	tít-chuu
teamwork	ทีมเวิร์ก	tim-wəək
dump money to	ทุ่มทุน	túm-tun
take over	เทกโอเวอร์	tek-o-wəə
cheer	เทใจ	tee-jai
smartly	เท่ระเบิด	tʰê-rá-bə̀ət
limitless	เท่าไหร่เท่ากัน	tâo-rai-tâo-gan
betray	แทงข้างหลัง	thɛɛŋ-khaang-laŋ
pawn-shop	ธนานุบาล	ta-naa-nu-baan
UHT milk	นมกล่อง	nom-glɔ̀ŋ
person	นรชน	non-ra-chon
person	นรชาติ	non-chaat
worldly	นอกกาย	nɔ̂ɔk-gaay
unlawful	นอกสมรส	nɔ̂ɔk-sǒm-rót
knock	น็อค	nɔ́k
knock	น็อค	nók
pickpocket	นักแซ้ง	nák-sɛ́ŋ
volleyball player	นักตบ	nak-dtòp
swindler	นักต้ม	nák-dtôm
footballer	นักเตะ	nák-dtè
revolutionist	นักปฏิวัติ	nák-bpà-dtì-wát
blind date	นัดบอด	nát-bɔ̀ɔd
decoy	นางนกต่อ	naa-ng-nók-dtɔ̀
model	นายแบบ	naai-bɛɛp
stopwatch	นาฬิกาจับเวลา	naa-lí-gaa-jàp-wee-laa
soft drinks	น้ำขวด	náam-kuad
be in the buff	นุ่งน้อยห่มน้อย	nûŋ-nɔ́ɔy-hòm-nɔ́ɔy
be stripped to the buff	นุ่งลมห่มฟ้า	nûŋ-lom-hòm-fáa
perfectly	เนี้ยบ	níap
rules and regulations	เนื้อผ้า	nʉ́a-pâa
completely	เนื้อๆ	nʉ́a-nʉ́a
screenplay	บทภาพยนตร์	bòt-paa-yon
postscript	บทส่งท้าย	bot-sòŋ-táai
package	บรรจุภัณฑ์	ban-ju-pan
multi-national corporation	บรรษัทข้ามชาติ	ban-sàt-kâam-chaat
be half-crazy	บ๊องส์	bɔ́ɔŋs
black list	บัญชีดำ	ban-chii-dam
crazy	บ้าบอคอแตก	bâa-bɔɔ-kɔɔ-dtɛɛk
be fond of flattery	บ้ายอ	bâai-ʔɔ
be crazy about	บ้าเห่อ	bâa-hào
do single-handed	บินเดี่ยว	bin-dìiao
be big	บึ้บบั้บ	bʉ́p-bâp
turn	เบนเข็ม	ben-kèm
blur	เบลอ	blə̂
blurred	เบลอ	bə̀ə
homosexual	เบี่ยงเบนทางเพศ	bìaŋ-ben-taaŋ-pét
foolish	เบื๊อก	bʉ̂ək
be anxious	แบกโลก	bɛɛk-loo̯k
chemical reaction	ปฏิกิริยาเคมี	bpà-dtì-gì-rí-yaa-kee-mii
clues of murder	ปมสังหาร	bpom-saŋ-hǎan
fawn upon	ประจบสอพลอ	bpra-jòp-sɔ̀ɔp-lɔ
on	ประจบสอพลอ	bpra-jop-sɔ̀ɔp-lo
people and ascetics	ประชาชี	bpra-chaa-chii
expect	ประมาณการณ์	bprà-maan-gaan
rehappened history	ประวัติศาสตร์ซ้ำรอย	bpra-wàt-ti-sàat-sám-rɔɔi
be nervous	ประสาทกิน	bprà-sàat-gin
be irritated	ประสาทเสีย	bpra-sàat-sǐa
duty-free	ปลอดภาษี	bplɔ̀ɔd-paa-sǐi
demonstrate a trick	ปล่อยทีเด็ด	bplɔ̀i-tii-dèt
be chicken-hearted	ปอดแหก	bpɔ̀ɔd-hɛ̀k
cleaver	ปังตอ	bpang-dtɔɔ
stupid	ปัญญานิ่ม	bpan-yaa-nim
speculate	ปั่นราคา	bpàn-raa-kaa
speculate stock	ปั่นหุ้น	bpàn-hun
gossipy and meddlesome	ปากมอม	bpàak-mɔɔm
pick-up	ปิคอัพ	bpi-kʰap
like	ปิ๊ง	bpíŋ
obstruct	ปิดกั้น	bpìd-gân
hush news	ปิดข่าว	bpìt-kàao
get into trouble	เป็นเรื่อง	pen-rʉ̂aŋ
change	เป็นอื่น	bpen-ʉ̀n
onomatopoeia from the sound of thunder or an explosion	เปรี้ยงปร้าง	bpriâŋ-bprâŋ
reveal	เปลือยใจ	bplʉ̌ay-jai
be different	แปลกแยก	bplɛ̀ɛk-yɛ̀ɛk
be different	แปลกหูแปลกตา	bplɛ̀ɛk-hǔu-bplɛ̀ɛk-dt
different	แปลกหูแปลกตา	bplɛɛk-hǔu-bplɛɛk-dtaa
pawn	แปะโป้ง	bpɛ̀-bpôoŋ
put a fingerprint on	แปะโป้ง	bpɛ̀-bpûŋ
private	ไปรเวต	bprai-wet
feel nauseated	ผะอืดผะอม	pʉ̀-ʉ̂t-pʉ̀-om
refreshing towel	ผ้าเย็น	pâa-yen
break one's word	ผิดคำพูด	pìt-kam-pûut
commander in chief	ผู้การ	pûu-gaan
aristocrat	ผู้ดีเก่า	pûu-dii-gào
Lieutenant	ผู้หมวด	pûu-muàt
reserve for selection	เผื่อเลือก	pʉ̀a-lʉ̂ak
unforgettable deeply hurt	แผลใจ	pɛɛ-lai
gently	แผ่วเบา	pʉ̀a-bao
be embedded	ฝังใน	fàŋ-nai
bear	พกพา	pók-paa
succeed in escaping	พ้นตัว	pón-dtua
break one's word	พลิกลิ้น	plik-lín
perfunctorily	พอเป็นพิธี	pɔɔ-bpen-pí-tii
rest one's eyes	พักสายตา	phák-sǎa-dtaa
pasteurization	พาสเจอไรซ์	paa-sà-jə-rai
industrial drop	พืชเศรษฐกิจ	pʉ̂cht-sèt-ta-git
belly	พุงกะทิ	pung-ka-ti
pager	เพจเจอร์	pee-jer
close friend	เพื่อนซี้	phʉ̂an-sii
admit defeat	แพ้ใจ	pɛ́-jai
have a weak point or spot	แพ้ทาง	phɛ́ɛ-taaŋ
launder	ฟอกเงิน	fɔ̀ɔk-ŋən
become rotten	ฟอนเฟะ	fon-fe
obligation	ภาระผูกพัน	phaa-rá-pùuk-pan
servitude	ภาวะจำยอม	phaa-wá-jam-yɔɔm
body language	ภาษากาย	paa-sǎa-gaai
finger language	ภาษามือ	paa-sǎa-mʉʉ
official language	ภาษาราชการ	paa-sǎa-raat-cha-gaan
motorcycle	มอเตอร์ไซค์	mɔɔ-dtəə-sai
enjoy	มันส์	man-sà
haphazardly	มั่วซั่ว	mûa-sûa
pick at random	มั่วซั่ว	mûa-sûa
seize an opportunity	มั่วนิ่ม	mûa-nim
midterm	มิดเทอม	mit-thəəm
midnight	มิดไนท์	mid-nai
mini theatre	มินิเธียเตอร์	mi-ni-tia-də
minibus	มินิบัส	mi-ní-bàt
minimart	มินิมาร์ท	mi-ni-maat
buster	มือปราบ	mʉʉ-bpràap
second fiddle	มือรอง	mʉʉ-rɔɔŋ
menu	เมนู	mee-nuu
hang	เมาค้าง	mao-khaang
martial art of Thai boxing	แม่ไม้	mɛ̂e-mai
not very	ไม่เท่าไร	mâi-tâo-rai
very	ไม่เบา	mâi-bao
be not interested in	ไม่สน	mâi-son
amphetamine	ยาบ้า	yaa-bâa
yeast	ยีสต์	yîit
avoid	ยึกยัก	yʉ̂k-yák
seize the power	ยึดอำนาจ	yʉ̀d-am-naad
deliver an ultimatum	ยื่นคำขาด	yʉ̂n-kam-kùat
dismiss	ยื่นซองขาว	yʉ̂un-song-khaao
dissolve the parliament	ยุบสภา	yúp-sà-paa
be untidy	รกเรื้อ	rók-rʉ̂a
untidily	รกเรื้อ	rók-rʉ̂a
be unworthy for thinking	รกสมอง	rók-sà-moŋ
motorcycle	รถเครื่อง	rót-khrʉ̂ang
skytrain	รถไฟลอยฟ้า	rót-fai-lɔɔi-fáa
be painful	รวดร้าว	rùad-ráao
assemble	รวมตัว	rua-dtua
contemporary	ร่วมสมัย	rûam-sa-mai
delicious	รสเด็ด	rót-dèt
be delicious	รสเด็ด	rót-dèt
apthous  ulcer	ร้อนใน	rɔ́ɔn-nai
hesitatingly	รอรี	rɔɔ-rii
wait for	รอรี	rɔɔ-rii
get much money	รับเละ	ráp-lə
be responsible for	รับเละ	ráp-lé
vomit blood	รากเลือด	râak-lʉ̀at
shops	ร้านรวง	ráan-ruaŋ
low income	รายได้ขั้นต่ำ	raai-dâi-kân-dtàm
squeeze money	รีดเงิน	rîit-ngən
beset	รุมเร้า	rum-ráo
very fast	เร็วจี๋	réw-jii
trifle	เรื่องขี้ผง	rʉ̂aŋ-kîi-pŋ
important event	เรื่องใหญ่	rʉ̂aŋ-yài
enforce	ลงแส้	loŋ-sɛ́
whip	ลงแส้	loŋ-sɛ́
reduce the price	ลดแหลก	lòd-lɛ̀ɛk
collapse	ล่มสลาย	lôm-sǎ-laai
lined pattern	ลายเส้น	laai-sen
clear	โล่งแจ้ง	lôoŋ-jɛ̂ŋ
drive	ไล่ต้อน	lai-dtɔ̂ɔn
test one's willingness	วัดใจ	wàt-jai
test one's luck	วัดดวง	wát-duaŋ
teenager	วัยโจ๋	wai-joo
old age	วัยดึก	wai-dʉ̀k
put on airs	วางฟอร์ม	waang-fɔɔm
wow!	ว้าว	wáao
trajectory	วิถีกระสุน	wi-tǐi-gra-sun
sufficient economy	เศรษฐกิจพอเพียง	sèt-tà-gìt-pɔɔ-piiyang
bubble economy	เศรษฐกิจฟองสบู่	sè-rèd-git-fɔɔŋ-sà-bùu
childish	หน่อมแน้ม	nɔ̀m-nɛ́m
heavily	หนักอึ้ง	nàk-ʉ̂ng
be heavy	หนักอึ้ง	nàk-ʉ̂ng
lose face	หน้าแหก	nâa-hɛ̀ɛk
indebtedness	หนี้บุญคุณ	nîi-bun-kun
hide	หมกเม็ด	mòg-mèd
be at one wit's end	หมดภูมิ	mòd-puu-mi
have no dignity	หมดภูมิ	mòd-puum
be emotionless	หมดอารมณ์	môd-aa-rom
emotionlessly	หมดอารมณ์	mòd-aa-rom
fathom	หยั่งถึง	yàŋ-tʉŋ
sweetly and charmingly	หยาดเยิ้ม	hà-yâat-yə̂əm
rough	หยาบกระด้าง	hǎap-gra-dâang
be proud of oneself	หลงตัวเอง	loŋ-dtua-eeŋ
be misguided	หลงทาง	lǒŋ-taaŋ
get lost	หลงทาง	lǒŋ-taaŋ
be mistaken	หลงผิด	loŋ-pit
make oneself scarce	หลบลี้หนีหน้า	lòp-líi-nǐi-nâa
deceive oneself	หลอกตัวเอง	lɔ̀ɔk-dtua-eeŋ
sleep	หลับใหล	làp-lai
badly	ห่วยแตก	hùay-dtɛ̀k
stink	ห่วยแตก	hùay-dtɛɛk
be down	อ่อนตัว	ɔ̀on-dua
reduce	อ่อนตัว	ɔ̀ɔn-dtua
be feeble	อ่อนระทวย	ɔ̀ɔn-rá-tuay
envy	อิจฉาตาร้อน	it-chaa-taa-rɔ́ɔn
enviously	อิจฉาตาร้อน	i-jchaa-taa-rɔ́ɔn
be plump	อึ๋ม	ʉ̂m
abundant	อื้อซ่า	ʉ̂ɔ-sâa
uhu	อู้ฮู	ûu-huu
be bored	เอียน	ian
gram	ก.	gɔ̀ɔ
July	ก.ค.	gɔ̀ɔ-kɔ̀ɔ
Office of the Teacher Civil Service Commission	ก.ค.	g-k
Judicial Service Commission	ก.ต.	gaw-dtaw
February	ก.พ.	gà-pee
Office of the Civil Service Commission	ก.พ.	gee-pee
law	ก.ม.	gee-em
kilogramme	กก.	gok-gok
committee	กก.	gà-gà
Department of Employment	กกจ.	gok-goj
Sports Authority of Thailand	กกท.	g-g-t
Ministry of Finance	กค	gá-kɔɔ
National Housing Authority	กคช.	g-k-ch
Port Authority of Thailand	กทท.	gee-tee-tee
Department of Mineral Resources	กทธ.	gà-tá-tɔ̌ɔ
Expressway and Rapid Transit Authority of Thailand	กทพ.	gà-tá-pee
Bangkok	กทม.	gà-tá-moo
Department of Internal Trade	กน.	gon
The Industrial Estate Authority of Thailand	กนอ.	g-nɔɔ
Civil Servant's Pension and Retirement Benefit Fund	กบข.	gòp-kɔ̀ɔp
The Metropolitan Waterworks Authority	กปน.	gà-bp-n
The Provincial Waterworks Authority	กปภ.	gà-bpee-poo
Office of the Royal Development Projects Board	กปร.	g-bp-r
Public Relations Department	กปส.	gee-bpee-sàt
Department of Skill Development	กพร.	gà-pɔɔ-r
The Metropolitan Electricity Authority	กฟน.	gɔɔ-f-n
The Electricity Generating Authority of Thailand	กฟผ.	gaf-fap
Provincial Electricity Authority	กฟภ.	gee-èp-poo
kilometre	กม.	gm.
Department of Foreign Trade	กรมการค้าต่างประเทศ	grom-gaa-kaa-dtàaŋ-bpra-dteèt
Department of Town and Country Planning	กรมการผังเมือง	grom-gaan-pang-mʉaŋ
Department of Probation	กรมคุมประพฤติ	grom-kum-bpra-phrʉ́t-dti
Department of Agriculture	กรมวิชาการเกษตร	grom-wi-chaa-gaan-gà-sèt
Department of Vocational Education	กรมอาชีวศึกษา	grom-aa-chii-wa-sʉ̀k-sǎa
Department of Industrial Works	กรอ.	gro
The Ministry of Foreign Affairs	กระทรวงการต่างประเทศ	grà-tuan-gaan-dtàaŋ-bprà-têet
The Customs Department	กศก.	gà-sòk
Department of Non-Formal Education	กศน.	gà-sɔ̀n
Ministry of Agriculture and Cooperatives	กษ	gà-sà
The Communications Authority of Thailand	กสท.	gà-sà-dt
Department of Labour Protection and Welfare	กสร.	gà-sɔ̀ɔn-rɔ̀ɔp
Department of Industrial Promotion	กสอ.	gà-sɔ̌ɔ
Ministry of Defence	กห	gó-hǎa
Kilobyte	กิโลไบต์	gi-loo-bai
extra large	ขนาดใหญ่พิเศษ	kà-nàat-yài-pí-sèet
Military Transportation Department	ขส.ทบ.	k-s-t-b
Bangkok Mass Transit Authority	ขส.มก.	k-s-m-g
least common multiple	ค.ร.น.	k-r-n
Christian era	ค.ศ.	khâ-sɔ̌ɔ
Ministry of Transport and Communications	คค	kkok
cabinet	ครม.	kro-rom
anno domini	คริสต์ศักราช	kris-sàk-raat
The Teachers Council of Thailand	คุรุสภา	ku-ru-sà-paa
province	จ.	j.
letter	จ.ม.	j.m.
Thai lesser era	จ.ศ.	j-s
The Harbour Department	จท.	j-t
authority	จนท.	jon-ton
motor cycle	จยย.	j-y-y
GPA	จีพีเอ	jii-pii-e
GSM	จีเอสเอ็ม	jii-ee-sem
JICA	ไจกา	jai-gaa
hour	ชม.	chom
Celsius	ซ.	s.
centimetre	ซม.	som.
Southeast Asia Games	ซีเกมส์	sii-geem
CD	ซีดี	sii-dii
CVD	ซีวีดี	sii-wii-dii
CNN	ซีเอ็นเอ็น	sii-èn-èn
CIA	ซีไอเอ	sii-ai-e
boy	ด.ช.	dɔ̀ɔ-chɔ̀ɔ
girl	ด.ญ.	d-y
doctor	ดร.	dɔ̀ɔk-dtɔ̀ɔ-rá
DJ	ดีเจ	dii-jee
DDT	ดีดีที	dii-dii-tii
DNA	ดีเอ็นเอ	dii-en-e
district	ต.	dt.
frontier policeman	ตชด.	dt-chɔɔ-dɔɔ
Civil Servant Provident Fund	ตม.	dtom
policeman	ตร.	dtrɔ̀ɔt
square yard	ตร.ว.	dtro-w
road	ถ.	t.
specific gravity	ถ.พ.	t.-p.
dentist	ท.พ.	t-p
Department of Commercial Registration	ทค.	t-k
The Tourism Authority of Thailand	ททท.	t-t-t
Royal Thai Army	ทบ.	tóp
Ministry of University Affairs	ทม	dtom
Royal Thai Navy	ทร.	t-r
Telephone Organization of Thailand	ทศท.	tót-sà-tín
aide-de-camp	ทส.	t-s
Royal Thai Airforce	ทอ.	tɔɔ
Airports Authority of Thailand	ทอท.	tɔ̂ɔ-tɔ̂ɔ
Telephone Organization of Thailand	ทีโอที	tii-oo-tii
Test of English as Foreign Language	โทเฟิล	too-fəən
bank	ธ.	t
Bank for Agriculture and Agricultural Cooperatives	ธกส.	t-gà-sà
Export-Import Bank of Thailand	ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย	tá-naa-kaan-pʉ̂a-gaan-sòŋ-ɔ
The Government Savings Bank	ธนาคารออมสิน	tha-naa-kaan-ɔɔm-sin
The Government Housing Bank	ธนาคารอาคารสงเคราะห์	ta-naa-kaan-aa-kaan-soŋ-kra-ráa
Bank of Thailand	ธปท.	t-bp-t
The Government Housing Bank	ธอส.	tɔ́ɔ-sà
North	น.	n.
clock	น.	n.
weight	น.น.	n.-n.
Bachelor of Civil Law	น.บ.	n-b
doctor	น.พ.	n.-p.
student	น.ศ.	n-sɔ̀ɔp
Miss	น.ส.	n.-s.
veterinary medicine	น.สพ.	n-sop
Office of the Prime Minister	นร	non
pupil	นร.	nɔɔ-rɔɔ
Bachelor of Arts in Mass Communication	นศ.บ.	n-sɔ̀ɔ-bpɔ̀ɔ
newspaper	นสพ.	n-sà-bp
NASA	นาซา	naa-saa
NATO	นาโต	naa-dto
NAFTA	นาฟตา	naa-ftaa
NIC	นิค	ník
NECTEC	เนคเทค	nek-tek
company	บ.	bp.
baht	บ.	b.
editor	บ.ก.	bp. g.
account	บ/ช	b/ch
The Transport Company Limited	บขส.	bpk-s
accounting section	บช.	bp-ch
account	บช.	bp-chɔɔ
The Department of Aviation	บพ.	bp
company limited	บริษัทจำกัด	bɔ-rí-sàt-jam-gàt
account current	บัญชีกระแสรายวัน	ban-chii-gra-sɛɛ-raai-wan
BIT	บิต	bit
BC	บีซี	bii-sii
BTU	บีทียู	bii-dtii-yuu
BBC	บีบีซี	bii-bii-sii
B.A.	บีเอ	bii-e
BOI	บีโอไอ	bii-oo-ai
BYTE	ไบต์	bai
graduate of theology	ป.	bp.
assistant district office	ป.	bp.
primary education	ป.	bp.
Anti Money Laundering Office	ป.ป.ง.	bp.bp.ng.
Office of the National Counter Corruption Commission	ป.ป.ช.	bp.bp.ch.
Office of the Narcotics Control Board	ป.ป.ส	bp.bp.s
postscript	ป.ล.	bp-l
public relations	ปชส.	bp-ch-s
post office	ปณ.	bpan
General Post Office	ปณก.	bp-nok
general post office	ปณก.	bpa-nók
Petroleum Authority of Thailand	ปตท.	bp-dt
president	ปธน.	bp-t-n
Department of Public Welfare	ปส.	bp-s
chief	ผกก.	pók-gɔ̀ɔp
manager	ผจก.	pó-jòk
assistant	ผช.	pʰ-chɔɔ
village headman	ผญ.	p-yai
director	ผบ.	p-b
commander in chief	ผบ.	p-bɔɔ
commander	ผบ.	p-bɔ̀ɔ
Commander-in-Chief of the Army	ผบ.ทบ.	p-t
Commander-in-Chief of the Navy	ผบ.ทร.	p-t-r
Commander-in-Chief of the Air Force	ผบ.ทอ.	pʉ-bɔɔ-tɔɔ
provincial governor	ผวจ.	pʉa-waj
professor assistant	ผศ.	pó-so̧
director	ผอ.	pɔ̀ɔ
woman doctor	พ.ญ.	p.y.
major	พ.ต.	p-dt
police major	พ.ต.ต.	p-dt-dt
police lieutenant colonel	พ.ต.ท.	pɔ́ɔ-dtɔ́ɔ-tɔ́ɔ
police colonel	พ.ต.อ.	p-dt-o
senior police colonel	พ.ต.อ.พิเศษ	p-dt-o-pi-sèt
king's order	พ.ร.ก.	p-r-g
royal decree	พ.ร.ฎ.	p-r-d
an act of legislation	พ.ร.บ.	p-r-b
Buddhist Era	พ.ศ.	p.-s.
colonel	พ.อ.	p.o.
Flight Sergeant Third Class	พ.อ.ต.	p.o.dt.
Flight Sergeant Second Class	พ.อ.ท.	p.o.t.
senior colonel	พ.อ.พิเศษ	po-o-pi-sèet
Flight Sergeant First Class	พ.อ.อ.	p.ɔ.ɔ.
The Community Development Department	พช.	p-ch
Ministry of Commerce	พณ	pan
Bachelor of Commerce	พณ.บ.	p-n-b
area	พท.	pót.
Office of Atomic Energy for Peace	พป.	pʉ̂p
major general	พล.ต.	p-l-dt
police major general	พล.ต.ต.	pól-dtôn-dtà
police lieutenant general	พล.ต.ท.	pɔɔn-dtà-hǎan
police general	พล.ต.อ.	p-l-dt-o
lieutenant general	พล.ท.	p-l-t
Rear Admiral	พล.ร.ต.	p-l-r-dt
Vice Admiral	พล.ร.ท.	pón-rót
Admiral	พล.อ.อ.	pon-o-o
private	พลฯ	pon
Bureau of the Royal Household	พว.	pwɔɔ
PC	พีซี	pii-sii
PVC	พีวีซี	pii-wii-sii
P.R.	พีอาร์	pii-aa-r
p.m.	พีเอ็ม	pii-em
Fahrenheit	ฟ.	f.
FIFA	ฟีฟ่า	fii-fâa
FAX	แฟกซ์	fɛ̀k
income tax	ภ.ง.ด.	p-ng-d
value added tax	ภ.พ.	p-p
pharmacist	ภก.	pík
secondary education	ม.	m.
secondary education	ม.	m.
university	ม.	m.
metre	ม.	m.
grandchild of a king	ม.จ.	m-j
great-grandchild of a king	ม.ร.ว.	m-r-w
milligramme	มก.	mɔ̀ɔg
Ministry of Interior	มท	mot
Mister	มร.	mor.
millilitre	มล.	mon-lon
megahertz	เมกะเฮิรตซ์	mee-gá-hə̂ən-dtsa
Ministry of Justice	ยธ	yat
